name,resourceid,lat,lon,location_id,type,active
Pune_ST_Stand_40,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,18.527615,73.872384,iudx_40,iudx,Y
Chitale Bandhu Corner_41,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,18.513701,73.85259,iudx_41,iudx,Y
Nanded City Entry_42,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,18.456863,73.801601,iudx_42,iudx,Y
Power_House_Square_43,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,18.519513,73.868533,iudx_43,iudx,Y
Vadgaon_Sheri_Square_44,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,18.558336,73.911371,iudx_44,iudx,Y
Shivaji Nagar ST Stand_45,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/9426e6f0-71cc-d3f1-6466-760ac8b655a2,18.532001,73.849475,iudx_45,iudx,Y
Susgaon_46,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,18.553421,73.75385,iudx_46,iudx,Y
Kothrud PMPML BusDepot_48,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,18.508049,73.795248,iudx_48,iudx,Y
Bajaj Statue Square_50,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,18.501188,73.854234,iudx_50,iudx,Y
Mundhwa Road Junction_51,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,18.532871,73.932849,iudx_51,iudx,Y
Jhanshi Rani Square_59,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,18.522881,73.848224,iudx_59,iudx,Y
Dr Baba Saheb Ambedkar Sethu Junction_60,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,18.541278,73.884363,iudx_60,iudx,Y
Gunjan Square_65,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,18.546154,73.889113,iudx_65,iudx,Y
Datta Mandir Square_66,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,18.565271,73.913848,iudx_66,iudx,Y
